,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Garanti Süresi,Garanti Tipi,Kullanım Amacı,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,SSD Kapasitesi,Star,Çözünürlük,Çözünürlük Standartı,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi
33,Dell,3.0,0,15.6,GDDR5,0.0,2.0,Marka Grantili,Ofis - İş,11099.0,8,4,512.0,5.0,1.0,2.0,5.0,AMD Ryzen 5,6.0,Windows
34,HP,3.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,17699.0,8,4,512.0,4.38,1.0,2.0,5.0,AMD Ryzen 5,6.0,Free Dos
35,LENOVO,3.0,0,14.0,SD,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,8199.0,8,4,256.0,4.75,1.0,2.0,5.0,AMD Ryzen 3,4.0,Free Dos
36,Dell,2.0,0,15.6,GDDR6,4.0,2.0,Marka Grantili,Ev - Okul,16199.0,8,4,256.0,5.0,1.0,2.0,11.0,Intel Core i5,6.0,Diğer
37,LENOVO,3.0,0,14.0,DDR4,0.0,2.0,Resmi Distribütör Garantili,Ev - Okul,12999.0,8,4,512.0,4.55,1.0,2.0,11.0,Intel Core i5,4.0,Windows
38,ASUS,3.0,0,15.6,SD,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,7399.0,4,4,256.0,4.53,1.0,2.0,10.0,Intel Core i3,2.0,Windows
39,LENOVO,3.0,0,14.0,SD,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,9199.0,12,4,256.0,4.2,1.0,2.0,5.0,AMD Ryzen 3,4.0,Free Dos
40,ASUS,3.0,0,15.6,DDR4,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,6667.03,4,4,256.0,5.0,1.0,2.0,3.0,AMD Ryzen 3,2.0,Free Dos
41,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,19593.75,16,4,512.0,4.43,1.0,2.0,11.0,Intel Core i5,6.0,Free Dos
42,HP,2.0,0,16.1,GDDR6,4.0,2.0,Marka Grantili,Oyun,22769.0,16,8,512.0,4.52,1.0,2.0,12.0,Intel Core i5,12.0,Free Dos
